tile_id,filename,md5_hash,filesize_bytes,type,in_train
JW725114,JW725114_satellite.tif,97b19f0747260df89e23f33caced3632,1105392,satellite,True
UX493605,UX493605_satellite.tif,fbdd888f115ede68ee83996071c007dc,1270901,satellite,True
OU500661,OU500661_satellite.tif,2003e7d0eaf10894e796721b5d344eeb,1238008,satellite,True
DC227980,DC227980_satellite.tif,8498ccaff72b8d7cfcc7f9404baf36f2,1252483,satellite,True
SS602790,SS602790_satellite.tif,525618743f94a065158f432bd5ee2d32,1535964,satellite,True
XD932929,XD932929_satellite.tif,41d5a854816a17f2ccd03297d93a3a53,1583021,satellite,True
MP775908,MP775908_satellite.tif,701bd00fd6ea071a2e1de57ca232d005,1091972,satellite,True
CW933853,CW933853_satellite.tif,fda1dccddfe5a7955b9b2dc6cedd2345,1145603,satellite,True
MW120705,MW120705_satellite.tif,ef2ec4573be612f17aa30fce0a4b17fd,1100274,satellite,True
RZ951649,RZ951649_satellite.tif,c6dca7188b1814cf8a9d7447f0695792,1481181,satellite,True
CQ977809,CQ977809_satellite.tif,43e9aa09dc853d0a124945ede449eeb4,1500211,satellite,True
YG790573,YG790573_satellite.tif,a08fcb5cefc50fb8f8b3b962d9340d85,1313755,satellite,True
RO939398,RO939398_satellite.tif,0dc8adff320f6c89675c93a1ad94e938,1496443,satellite,True
BE703016,BE703016_satellite.tif,50e1933fc7c415d2c7e9236adffe96f0,1124986,satellite,True
FC689820,FC689820_satellite.tif,b5cbb1cd8c4f22f5475798d5e5e9ccb8,1149496,satellite,True
YB188720,YB188720_satellite.tif,543587939a662af9252433ada25a3f0a,457400,satellite,True
QJ481219,QJ481219_satellite.tif,964d9da6ad1abdbedf3b82996e9002cb,1364929,satellite,True
JB644675,JB644675_satellite.tif,0ffcfecc98d8886e850d2c6fe336d33d,879073,satellite,True
JV660046,JV660046_satellite.tif,9548158eab1b6af9a24c6756d9ba240d,1324808,satellite,True
SP828866,SP828866_satellite.tif,bc8728010da73873160fa8d8a925658f,1204790,satellite,True
LT664353,LT664353_satellite.tif,2a6022c6d8c42c3425a3f919fda44e0f,1240698,satellite,True
WD794804,WD794804_satellite.tif,506c6aa3f731fbb0270afc3fbb0aefa8,1327044,satellite,True
GE731394,GE731394_satellite.tif,8e61071f0c91ca13ad2d4b566bf3b6b1,1054076,satellite,True
TN177971,TN177971_satellite.tif,a9ab4d75cb1a5b53b266965d2a053b7d,674224,satellite,True
IM781332,IM781332_satellite.tif,47b712ab9f747c22050a123cbcbe5cc3,858613,satellite,True
MO187298,MO187298_satellite.tif,e8f2f71b9736a32004f9d21b1c362884,941321,satellite,True
GC760150,GC760150_satellite.tif,d5e1d23d1d1f14d937f5ba75485b8d8b,831996,satellite,True
